Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status,Metafield: custom.medium [single_line_text_field],Metafield: custom.edition [single_line_text_field],Metafield: custom.badge [single_line_text_field],Metafield: custom.artist_quote [single_line_text_field],Metafield: custom.specifications [multi_line_text_field],Metafield: custom.medium_care [multi_line_text_field]
magical-pansies,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/magical-pansies-02.jpg,2,Gold leaf detail,,,,,,,,,,,
magical-pansies,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/magical-pansies-03.jpg,3,Surface texture,,,,,,,,,,,
magical-pansies,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/magical-pansies-04.jpg,4,Colour detail,,,,,,,,,,,
magical-pansies,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/magical-pansies-05.jpg,5,In studio,,,,,,,,,,,
purple-petal,Purple Petal,<p><em>Alcohol Ink on Yupo Paper · 40 × 52 inches · 2024</em></p><p>The largest work from the Monsoon Series. Blues and indigos flowing outward from a single point of white light. Painted at dusk across two consecutive evenings. The light changed and the painting changed with it.</p>,Rhytara,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Original Painting,"Rhytara, Alcohol Ink on Yupo Paper, Year 2024, Original Work, One of One, Painting",TRUE,Title,Default Title,,,,,RHY-PP-2024,900,shopify,1,deny,manual,92000,,TRUE,TRUE,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/purple-petals-reverie-01.jpg,1,"Purple Petal, full view",FALSE,Purple Petal - Rhytara,The largest work from the Monsoon Series. Blues and indigos flowing outward from a single point of white light. Painted at dusk across two consecutive evenings. The light changed and the painting changed with it.,kg,active,Alcohol Ink on Yupo Paper · 40 × 52 inches · 2024,Original · 1 of 1 · Certificate Included,Available · 2024,"""The light changed. The painting changed with it.""","Dimensions: 40 × 52 inches (102 × 132 cm)
Year: 2024
Edition: Original · 1 of 1
Signature: Signed verso by the artist
Framed size: 44 × 56 inches (adds 2″ border)
Weight (unframed): Approx. 0.9 kg","Medium: Alcohol Ink on Yupo Paper
Support: Yupo Synthetic Paper (acid-free)
Finish: UV-protective varnish applied
Light exposure: Avoid direct sunlight
Cleaning: Dry dusting only
Longevity: 100+ years with proper care"
purple-petal,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/purple-petals-reverie-02.jpg,2,Indigo bloom detail,,,,,,,,,,,
purple-petal,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/purple-petals-reverie-03.jpg,3,Light point origin,,,,,,,,,,,
purple-petal,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/purple-petals-reverie-04.jpg,4,In studio,,,,,,,,,,,
shifting-glacier,Shifting Glacier,"<p><em>Archival Print on Pure Georgette · 5.5 m · 2024</em></p><p>The Echoes Of Earth painting adapted for pure georgette. Archival ink pigments are set using a cold-press process, preserving the translucency of the original. Each saree is hand-numbered and shipped with a certificate of authenticity.</p>",Rhytara,Apparel & Accessories > Clothing,Wearable Art,"Rhytara, Wearable Art, Year 2024, Limited Edition, Saree",TRUE,Width,44 inch,,,,,RHY-SG-2024-44,,shopify,5,deny,manual,18500,,TRUE,TRUE,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/shifting-glacier-01.jpg,1,"Shifting Glacier, full drape",FALSE,Shifting Glacier - Rhytara,"The Echoes Of Earth painting adapted for pure georgette. Archival ink pigments are set using a cold-press process, preserving the translucency of the original. Each saree is hand-numbered and shipped with a certificate of authenticity.",kg,active,Archival Print on Pure Georgette · 5.5 m · 2024,Edition 3 of 8 · Certificate Included,Limited · 3 of 8,"""A painting you can wear.""","Length: 5.5 metres
Fabric: Pure Georgette
Edition: 3 of 8, 5 remaining
Process: Archival cold-press pigment print
Blouse piece: Not included
Care label: Attached","Ink: Archival UV-resistant pigments
Wash: Dry clean only
Light exposure: Avoid prolonged direct sunlight
Storage: Roll loosely in acid-free tissue
Ironing: Reverse-side, cool iron only"
shifting-glacier,,,,,,,,Width,58 inch,,,,,RHY-SG-2024-58,,shopify,5,deny,manual,18500,,TRUE,TRUE,,,,,FALSE,,,kg,,,,,,,
shifting-glacier,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/shifting-glacier-02.jpg,2,Border detail,,,,,,,,,,,
shifting-glacier,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/shifting-glacier-03.jpg,3,Print detail close-up,,,,,,,,,,,
shifting-glacier,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/shifting-glacier-04.jpg,4,Colour detail,,,,,,,,,,,
shifting-glacier,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/shifting-glacier-05.jpg,5,In situ,,,,,,,,,,,
rhytara-gift-card,Rhytara Gift Card,"<p>A Rhytara gift card, delivered by email with a unique code. Redeemable against any original work, wearable piece or limited edition in the studio shop.</p><p>No expiry. The balance carries over across orders.</p>",Rhytara,,Gift Card,"Gift Card, Rhytara",TRUE,Denomination,"Rs 10,000 - The Thoughtful Gift",,,,,RHY-GC-10000,,,,continue,manual,10000,,FALSE,FALSE,,,,,TRUE,Rhytara Gift Card,Give the gift of original art. Redeemable against any work in the Rhytara studio shop.,,active,,,,,,
rhytara-gift-card,,,,,,,,Denomination,"Rs 50,000 - The Signature Gift",,,,,RHY-GC-50000,,,,continue,manual,50000,,FALSE,FALSE,,,,,TRUE,,,,,,,,,,
